ID	OPERATEID	USERID	USERIP	URL	STARTTIME	ENDTIME	MODULE	DESCRIPTION	MACADDR	TIMECOST	OPERATE
220	60e66150e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/PrivController/allTree.do	2014/5/29 13:09:14	2014/5/29 13:09:14				20	
221	626f7251e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:09:17	2014/5/29 13:09:17				3	
222	62714710e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:09:17	2014/5/29 13:09:17				14	
223	646500c0e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:09:20	2014/5/29 13:09:20				9	
224	64e49100e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:09:21	2014/5/29 13:09:21				8	
225	a1cb6300e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:03	2014/5/29 13:11:03				3	
226	a1cd10b0e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:03	2014/5/29 13:11:03				14	
227	a33fda90e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:06	2014/5/29 13:11:06				9	
228	a39f86c0e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:06	2014/5/29 13:11:06				9	
229	a56579b0e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:09	2014/5/29 13:11:09				10	
230	a5bce880e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:10	2014/5/29 13:11:10				131	
231	a6cd4710e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:12	2014/5/29 13:11:12				12	
232	a73cf8d0e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:12	2014/5/29 13:11:12				8	
233	a809beb1e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:14	2014/5/29 13:11:14				8	
234	a8495fc0e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/UserController/noExistGroup.do	2014/5/29 13:11:14	2014/5/29 13:11:14				9	
235	aa597b10e6ef11e3c0ccc3490771e5b5	admin		/authorization/controller/GroupController/cancelUser.do	2014/5/29 13:11:18	2014/5/29 13:11:18				8	
