SYS_LOGONLOG_ID	LOGONID	USERID	IP	MACADDR	LOGONTIME	LOGOFFTIME	LOGONFLAG	LOGFAILEDREASON	SESSIONID
128	b2bb4970e6e311e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 11:45:38	2014/5/29 13:08:33	1		C8388BEB68D5D25544E52F9CE17DA05C
129	01793720e6e411e350d36d6d228a3858	ad	0:0:0:0:0:0:0:1	macs	2014/5/29 11:47:50		0	用户不存在	C8388BEB68D5D25544E52F9CE17DA05C
130	0369e390e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 11:47:53		0	密码错误	C8388BEB68D5D25544E52F9CE17DA05C
131	04c97390e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 11:47:55	2014/5/29 13:08:33	1		C8388BEB68D5D25544E52F9CE17DA05C
132	f2353780e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 12:01:43	2014/5/29 12:32:07	1		C8388BEB68D5D25544E52F9CE17DA05C
133	bfe46c70e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 13:04:44	2014/5/29 13:08:33	1		7220A625EC0A9DC663477960A6EDEE09
134	8ccd6f60e6f011e30d8e57efdc5c709e	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 13:17:38	2014/5/29 13:21:07	1		B9119C7E703936528824B92FDAA9F80B
135	be971a00e6f011e30d8e57efdc5c709e	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 13:19:01	2014/5/29 13:21:07	1		CC5F7A1E38376AD182D7AA074C164C39
136	0ffbbdb0e6f111e32bdb7d907ad1c494	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 13:21:18	2014/5/29 13:39:04	1		B9119C7E703936528824B92FDAA9F80B
137	512198f0e6f111e35829eab233f818bf	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 13:23:07	2014/5/29 13:39:04	1		9EAF1A26A7BD8EFB2266072CF74979AC
138	a6f49340e6f111e37730e25bcea76807	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 13:25:31	2014/5/29 13:39:04	1		4F197FFA5D7D469622660A0676957514
139	cbd0ea60e6f111e35455c069ae941059	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 13:26:33	2014/5/29 13:39:04	1		DF34ABF61466680A1D08FDDFDD8DD92D
140	b68bb7c0e6f611e391c4ed66750bb742	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 14:01:45	2014/5/29 14:03:45	1		F6982B8C6DD0357B31387E38DCF5B3AE
141	d4c04300e6f611e391c4ed66750bb742	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 14:02:35	2014/5/29 14:03:45	1		F6982B8C6DD0357B31387E38DCF5B3AE
142	b41c7a90e6f811e3287bef3a716ea6da	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 14:15:59	2014/5/29 15:18:32	1		3C8BB870FB9993CEBF9D7591A561DB36
