SYS_SQLLOG_ID	SQLID	USERID	USERIP	MACADDR	SQL	STARTTIME	ENDTIME	SUCCESS	TYPE	TIMECOST
409	c1c6e810e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_user_id,username,cuserid,cdate,euserid,edate,password,isvalid,usercode from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 13:04:47	2014/5/29 13:04:47	01	01	4
410	c1c75d40e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_user_id) as count from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 13:04:47	2014/5/29 13:04:47	01	01	2
411	c2b05db0e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_group_id, groupname, cuserid, cdate, euserid, edate, memo from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 13:04:49	2014/5/29 13:04:49	01	01	6
412	c2b0d2e0e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_group_id) as count from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 13:04:49	2014/5/29 13:04:49	01	01	3
413	c2b28090e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_group_id, groupname, cuserid, cdate, euserid, edate, memo from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 13:04:49	2014/5/29 13:04:49	01	01	3
414	c2b2f5c0e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_group_id) as count from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 13:04:49	2014/5/29 13:04:49	01	01	2
415	fa5ef960e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_group_id, groupname, cuserid, cdate, euserid, edate, memo from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 13:06:22	2014/5/29 13:06:22	01	01	4
416	fa5f4780e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_group_id) as count from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 13:06:22	2014/5/29 13:06:22	01	01	2
417	fa611c40e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_group_id, groupname, cuserid, cdate, euserid, edate, memo from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 13:06:22	2014/5/29 13:06:22	01	01	3
418	fa616a60e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_group_id) as count from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 13:06:22	2014/5/29 13:06:22	01	01	2
419	fd84f180e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_group_id, groupname, cuserid, cdate, euserid, edate, memo from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 13:06:28	2014/5/29 13:06:28	01	01	3
420	fd858dc0e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_group_id) as count from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 13:06:28	2014/5/29 13:06:28	01	01	3
421	fdefc140e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_group_id, groupname, cuserid, cdate, euserid, edate, memo from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 13:06:28	2014/5/29 13:06:28	01	01	2
353	505bc3d0e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_group_id) as count from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 11:50:02	2014/5/29 11:50:02	01	01	3
354	56b41020e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_user_id,username,cuserid,cdate,euserid,edate,password,isvalid,usercode from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 11:50:13	2014/5/29 11:50:13	01	01	6
355	56b4ac60e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_user_id) as count from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 11:50:13	2014/5/29 11:50:13	01	01	4
356	58381810e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_user_id,username,cuserid,cdate,euserid,edate,password,isvalid,usercode from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 11:50:15	2014/5/29 11:50:15	01	01	4
357	58388d40e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_user_id) as count from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 11:50:15	2014/5/29 11:50:15	01	01	2
358	58896c60e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_user_id,username,cuserid,cdate,euserid,edate,password,isvalid,usercode from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 11:50:16	2014/5/29 11:50:16	01	01	3
